ID,SPECIES_CODE,SPECIES_NAME,CURRENT_SPECIES_NAME,POPULATION,PREFERRED_COMMON_NAMES,PROJECT_CODE,OBSERVATION_FOREIGN_ID,GDA94_ZONE_55_EASTINGNORTHING,LONGITUDE,LATITUDE,EASTING,NORTHING,POSITION_ACCURACY,LOCATION_DESC,OBSERVER_NAMES,OBSERVATION_DATE,DATE_ACCURACY,OBSERVATION_TYPE,OBSERVATION_TYPE_QUALIFIER,OBSERVATION_STATE,OBSERVATION_STATE_QUALIFIER,RECORD_STATUS,NOTES,PRIMARY_IDENTIFIER
642865,B76-00528,Diomedea cauta subsp. cauta,Thalassarche cauta,,shy albatross,raou,raou:raou:15862/19,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),05-Jan-1978,Unknown,Sighting,,Present,,Accepted,,
689210,B76-00528,Diomedea cauta subsp. cauta,Thalassarche cauta,,shy albatross,raou,raou:raou:51480/1,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),22-Apr-1979,Unknown,Sighting,,Present,,Accepted,,
900276,B76-00528,Diomedea cauta subsp. cauta,Thalassarche cauta,,shy albatross,tpo,tpo:tpo:7170/1,POINT (586295 5286936),148.05134,-42.56516,586295,5286936,1850,,D Rounse (6231),13-Sep-1976,Unknown,Sighting,,Present,,Accepted,,
1335634,B95-00171,Thalassarche cauta,,,shy albatross,tmagvert,B4555,POINT (587849 5274276),148.07222,-42.67898,587849,5274276,5000,Ocean Beach,Unknown Unknown (23130),11-Mar-1991,Day,Sighting,,Present,,Accepted,TMAG Museum Specimen,
1913148,2016-00237,Thalassarche cauta subsp. steadi,,,White-capped Albatross,dr7452,,POINT (583497 5288654),148.017,-42.55,583497,5288654,2000,South east Australia,Unknown Unknown (23130),21-Jan-1989,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
1917604,2016-00237,Thalassarche cauta subsp. steadi,,,White-capped Albatross,dr7452,,POINT (583497 5288654),148.017,-42.55,583497,5288654,2000,South east Australia,Unknown Unknown (23130),21-Jan-1989,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
1917605,2016-00237,Thalassarche cauta subsp. steadi,,,White-capped Albatross,dr7452,,POINT (593020 5288533),148.133,-42.55,593020,5288533,2000,South east Australia,Unknown Unknown (23130),28-Mar-1985,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
1917608,2016-00237,Thalassarche cauta subsp. steadi,,,White-capped Albatross,dr7452,,POINT (595787 5286641),148.16701,-42.5667,595787,5286641,2000,South east Australia,Unknown Unknown (23130),30-Mar-1985,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
1917952,2016-00237,Thalassarche cauta subsp. steadi,,,White-capped Albatross,dr7452,,POINT (595660 5277391),148.16701,-42.65,595660,5277391,2000,South east Australia,Unknown Unknown (23130),28-Mar-1985,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
1921979,2016-00237,Thalassarche cauta subsp. steadi,,,White-capped Albatross,dr7452,,POINT (583497 5288654),148.017,-42.55,583497,5288654,2000,South east Australia,Unknown Unknown (23130),21-Jan-1989,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
