ID,SPECIES_CODE,SPECIES_NAME,CURRENT_SPECIES_NAME,POPULATION,PREFERRED_COMMON_NAMES,PROJECT_CODE,OBSERVATION_FOREIGN_ID,GDA94_ZONE_55_EASTINGNORTHING,LONGITUDE,LATITUDE,EASTING,NORTHING,POSITION_ACCURACY,LOCATION_DESC,OBSERVER_NAMES,OBSERVATION_DATE,DATE_ACCURACY,OBSERVATION_TYPE,OBSERVATION_TYPE_QUALIFIER,OBSERVATION_STATE,OBSERVATION_STATE_QUALIFIER,RECORD_STATUS,NOTES,PRIMARY_IDENTIFIER
1341824,70-00213,Sarcophilus harrisii,,,tasmanian devil,pws,,POINT (587398 5285266),148.06503,-42.58007,587398,5285266,1,track to Preros at Darlington,Andrea Turbett (25477),09-Dec-2012,Day,Sighting,,Present,,Accepted,,
1383316,70-00213,Sarcophilus harrisii,,,tasmanian devil,dpiw-fauna,,POINT (586054 5277278),148.04986,-42.65215,586054,5277278,10,Maria id,Vince Scoleri (28593),01-Jan-2013,Month,Sighting,,Present,,Accepted,,
1434664,70-00213,Sarcophilus harrisii,,,tasmanian devil,mifcs,Maria_Is_FCS-6,POINT (588718 5284590),148.08122,-42.58601,588718,5284590,10,"Bernacchis Creek, Maria Island",Vince Scoleri (28593),01-Jul-2014,Month,Sighting,,Present,,Accepted,,
1434665,70-00213,Sarcophilus harrisii,,,tasmanian devil,mifcs,Maria_Is_FCS-7,POINT (587346 5285242),148.0644,-42.5803,587346,5285242,10,"Darlington Bay, Maria Island",Vince Scoleri (28593),01-Jul-2014,Month,Sighting,,Present,,Accepted,,
1434712,70-00213,Sarcophilus harrisii,,,tasmanian devil,mifcs,Maria_Is_FCS-4,POINT (583025 5276340),148.01305,-42.66093,583025,5276340,200,"Point Leseuer, Maria Island",Vince Scoleri (28593),01-Dec-2013,Year,Sighting,,Present,,Accepted,,
1453985,70-00213,Sarcophilus harrisii,,,tasmanian devil,ttsmr,,POINT (588083 5284455),148.0735,-42.5873,588083,5284455,10,,Toby Travers (29681),27-Nov-2014,Month,Camera Trap,,Present,,Accepted,,
1453988,70-00213,Sarcophilus harrisii,,,tasmanian devil,ttsmr,,POINT (588081 5284321),148.0735,-42.5885,588081,5284321,10,,Toby Travers (29681),27-Nov-2014,Month,Camera Trap,,Present,,Accepted,,
1454005,70-00213,Sarcophilus harrisii,,,tasmanian devil,ttsmr,,POINT (588063 5284166),148.0733,-42.5899,588063,5284166,10,,Toby Travers (29681),27-Nov-2014,Month,Camera Trap,,Present,,Accepted,,
1454011,70-00213,Sarcophilus harrisii,,,tasmanian devil,ttsmr,,POINT (588135 5284054),148.0742,-42.5909,588135,5284054,10,,Toby Travers (29681),27-Nov-2014,Month,Camera Trap,,Present,,Accepted,,
1454017,70-00213,Sarcophilus harrisii,,,tasmanian devil,ttsmr,,POINT (588150 5283887),148.0744,-42.5924,588150,5283887,10,,Toby Travers (29681),27-Nov-2014,Month,Camera Trap,,Present,,Accepted,,
1454020,70-00213,Sarcophilus harrisii,,,tasmanian devil,ttsmr,,POINT (588107 5283788),148.0739,-42.5933,588107,5283788,10,,Toby Travers (29681),27-Nov-2014,Month,Camera Trap,,Present,,Accepted,,
1454025,70-00213,Sarcophilus harrisii,,,tasmanian devil,ttsmr,,POINT (591303 5284058),148.1128,-42.5905,591303,5284058,10,,Toby Travers (29681),27-Nov-2014,Month,Camera Trap,,Present,,Accepted,,
1454036,70-00213,Sarcophilus harrisii,,,tasmanian devil,ttsmr,,POINT (588041 5283700),148.0731,-42.5941,588041,5283700,10,,Toby Travers (29681),27-Nov-2014,Month,Camera Trap,,Present,,Accepted,,
1454044,70-00213,Sarcophilus harrisii,,,tasmanian devil,ttsmr,,POINT (588962 5284510),148.0842,-42.5867,588962,5284510,10,,Toby Travers (29681),27-Nov-2014,Month,Camera Trap,,Present,,Accepted,,
