ID,SPECIES_CODE,SPECIES_NAME,CURRENT_SPECIES_NAME,POPULATION,PREFERRED_COMMON_NAMES,PROJECT_CODE,OBSERVATION_FOREIGN_ID,GDA94_ZONE_55_EASTINGNORTHING,LONGITUDE,LATITUDE,EASTING,NORTHING,POSITION_ACCURACY,LOCATION_DESC,OBSERVER_NAMES,OBSERVATION_DATE,DATE_ACCURACY,OBSERVATION_TYPE,OBSERVATION_TYPE_QUALIFIER,OBSERVATION_STATE,OBSERVATION_STATE_QUALIFIER,RECORD_STATUS,NOTES,PRIMARY_IDENTIFIER
646370,B77-00031,Morus serrator,,,australasian gannet,raou,raou:raou:23708/22,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),25-Dec-1977,Unknown,Sighting,,Present,,Accepted,,
646700,B77-00031,Morus serrator,,,australasian gannet,raou,raou:raou:23720/29,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),22-Jan-1978,Unknown,Sighting,,Present,,Accepted,,
648629,B77-00031,Morus serrator,,,australasian gannet,raou,raou:raou:24488/2,POINT (588770 5266544),148.08467,-42.74849,588770,5266544,18500,,Unknown Unknown (23130),24-Mar-1978,Unknown,Sighting,,Present,,Accepted,,
651528,B77-00031,Morus serrator,,,australasian gannet,raou,raou:raou:2896/24,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),18-Mar-1977,Unknown,Sighting,,Present,,Accepted,,
654682,B77-00031,Morus serrator,,,australasian gannet,raou,raou:raou:23702/31,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),06-Feb-1978,Unknown,Sighting,,Present,,Accepted,,
657262,B77-00031,Morus serrator,,,australasian gannet,raou,raou:raou:24489/4,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),23-Mar-1978,Unknown,Sighting,,Present,,Accepted,,
660372,B77-00031,Morus serrator,,,australasian gannet,raou,raou:raou:2904/26,POINT (588770 5266544),148.08467,-42.74849,588770,5266544,18500,,Unknown Unknown (23130),27-Mar-1977,Unknown,Sighting,,Present,,Accepted,,
660417,B77-00031,Morus serrator,,,australasian gannet,raou,raou:raou:2905/17,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),27-Mar-1977,Unknown,Sighting,,Present,,Accepted,,
675852,B77-00031,Morus serrator,,,australasian gannet,raou,raou:raou:48572/40,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),22-Jan-1979,Unknown,Sighting,,Present,,Accepted,,
704343,B77-00031,Morus serrator,,,australasian gannet,raou,raou:raou:70362/22,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),29-Feb-1980,Unknown,Sighting,,Present,,Accepted,,
732436,B77-00031,Morus serrator,,,australasian gannet,raou,raou:raou:94736/16,POINT (588770 5266544),148.08467,-42.74849,588770,5266544,18500,,Unknown Unknown (23130),09-Dec-1980,Unknown,Sighting,,Present,,Accepted,,
732524,B77-00031,Morus serrator,,,australasian gannet,raou,raou:raou:94745/24,POINT (588770 5266544),148.08467,-42.74849,588770,5266544,18500,,Unknown Unknown (23130),11-Dec-1980,Unknown,Sighting,,Present,,Accepted,,
737328,B77-00031,Morus serrator,,,australasian gannet,raou,raou:raou:94594/44,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),08-Dec-1980,Unknown,Sighting,,Present,,Accepted,,
740469,B77-00031,Morus serrator,,,australasian gannet,raou,raou:raou:94730/29,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),31-Jan-1981,Unknown,Sighting,,Present,,Accepted,,
740558,B77-00031,Morus serrator,,,australasian gannet,raou,raou:raou:94732/40,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),31-Dec-1980,Unknown,Sighting,,Present,,Accepted,,
740814,B77-00031,Morus serrator,,,australasian gannet,raou,raou:raou:94752/39,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),07-Dec-1980,Unknown,Sighting,,Present,,Accepted,,
883503,B77-00031,Morus serrator,,,australasian gannet,tp,tp:tp:14731/41,POINT (587612 5284983),148.06768,-42.5826,587612,5284983,1000,0.00 E of Darlington,A Goldizen (1824),13-Mar-1997,Day,Sighting,,Present,,Accepted,,
