ID,SPECIES_CODE,SPECIES_NAME,CURRENT_SPECIES_NAME,POPULATION,PREFERRED_COMMON_NAMES,PROJECT_CODE,OBSERVATION_FOREIGN_ID,GDA94_ZONE_55_EASTINGNORTHING,LONGITUDE,LATITUDE,EASTING,NORTHING,POSITION_ACCURACY,LOCATION_DESC,OBSERVER_NAMES,OBSERVATION_DATE,DATE_ACCURACY,OBSERVATION_TYPE,OBSERVATION_TYPE_QUALIFIER,OBSERVATION_STATE,OBSERVATION_STATE_QUALIFIER,RECORD_STATUS,NOTES,PRIMARY_IDENTIFIER
522511,B76-00642,Eudyptula minor,,,little penguin,fhb,fauna_hb:fhb:1404/1,POINT (588012 5286383),148.07234,-42.56995,588012,5286383,100,"Cape Boullanger, Maria Island",Unknown Unknown (23130),01-Jan-1900,Unknown,Sighting,,Present,,Accepted,,
533068,B76-00642,Eudyptula minor,,,little penguin,fhb,fauna_hb:fhb:4270/1,POINT (587012 5269783),148.0627,-42.71953,587012,5269783,100,"Haunted Bay, near small gravel beach",Unknown Unknown (23130),01-Jan-1900,Unknown,Sighting,,Present,,Accepted,,
883402,B76-00642,Eudyptula minor,,,little penguin,tp,tp:tp:14730/20,POINT (587612 5284983),148.06768,-42.5826,587612,5284983,1000,0.00 E of Darlington,A Goldizen (1824),19-Dec-1997,Day,Sighting,,Present,,Accepted,,
883466,B76-00642,Eudyptula minor,,,little penguin,tp,tp:tp:14731/42,POINT (587612 5284983),148.06768,-42.5826,587612,5284983,1000,0.00 E of Darlington,A Goldizen (1824),13-Mar-1997,Day,Sighting,,Present,,Accepted,,
1024464,B76-00642,Eudyptula minor,,,little penguin,dpiw-fauna,,POINT (587600 5284999),148.06753,-42.58245,587600,5284999,100,Darlington Maria Id,A Goldizen (1824),04-Jun-1996,Day,Sighting,,Present,,Accepted,,
1372368,B76-00642,Eudyptula minor,,,little penguin,tmagvert,B6605,POINT (583036 5276317),148.01319,-42.66113,583036,5276317,500,Maria Island,Jennifer Lavers (22055),13-Mar-2011,Day,Sighting,,Present,,Accepted,TMAG Museum specimen,
1383301,B76-00642,Eudyptula minor,,,little penguin,dpiw-fauna,,POINT (587609 5269837),148.06998,-42.71897,587609,5269837,10,Maria id,Vince Scoleri (28593),01-Jan-2013,Month,Sighting,,Present,,Accepted,,
1496510,B76-00642,Eudyptula minor,,,little penguin,mifcs,,POINT (587847 5287130),148.07021,-42.56324,587847,5287130,400,Ile Du Nord,Vince Scoleri (28593),08-Mar-2013,3 Months,Camera Trap,,Present,,Accepted,,
1496524,B76-00642,Eudyptula minor,,,little penguin,mifcs,,POINT (588911 5269720),148.0859,-42.71988,588911,5269720,500,No Good Bay,Vince Scoleri (28593),15-Dec-2015,3 Months,Camera Trap,,Present,,Accepted,,
1496529,B76-00642,Eudyptula minor,,,little penguin,mifcs,,POINT (588911 5269720),148.0859,-42.71988,588911,5269720,500,No Good Bay,Vince Scoleri (28593),22-Feb-2016,3 Months,Camera Trap,,Present,,Accepted,,
1664115,B76-00642,Eudyptula minor,,,little penguin,inat,https://www.inaturalist.org/observations/15056929,POINT (587349 5285332),148.06442,-42.57948,587349,5285332,1000,"Glamorgan-Spring Bay, TAS, Australia",jgenest iNaturalist (31720),13-Jan-2015,Day,Sighting,,Present,,Accepted,,
1692416,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_83,POINT (587022 5269606),148.06285,-42.72112,587022,5269606,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,less than fifty scattered penguin burrows Oct/Nov Laying period Susceptible Jan-De,
1692417,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_65,POINT (587028 5269948),148.06287,-42.71804,587028,5269948,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692418,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587225 5285615),148.06287,-42.57695,587225,5285615,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692419,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_80,POINT (587026 5269743),148.06287,-42.71989,587026,5269743,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692420,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_64,POINT (587029 5269950),148.06288,-42.71802,587029,5269950,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692421,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_81,POINT (587027 5269728),148.06289,-42.72002,587027,5269728,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692422,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587029 5269870),148.06289,-42.71874,587029,5269870,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692423,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_61,POINT (587031 5269975),148.0629,-42.7178,587031,5269975,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692424,B76-00642,Eudyptula minor,,,little penguin,lpns,D11-12,POINT (587229 5285618),148.06292,-42.57692,587229,5285618,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"under most northern beam of very dodgy ""bridge"". ",
1692425,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_78,POINT (587030 5269743),148.06292,-42.71989,587030,5269743,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692426,B76-00642,Eudyptula minor,,,little penguin,lpns,D11-11,POINT (587230 5285611),148.06293,-42.57699,587230,5285611,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"Large chick, directly behind pigface, eastward facing burrow under cement slab. ",
1692427,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_75,POINT (587032 5269782),148.06294,-42.71953,587032,5269782,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692428,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_63,POINT (587035 5269962),148.06295,-42.71791,587035,5269962,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692429,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_62,POINT (587035 5269962),148.06295,-42.71791,587035,5269962,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692430,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587234 5285612),148.06298,-42.57698,587234,5285612,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692431,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_77,POINT (587035 5269745),148.06298,-42.71987,587035,5269745,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692432,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_76,POINT (587036 5269744),148.063,-42.71988,587036,5269744,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692433,B76-00642,Eudyptula minor,,,little penguin,lpns,D11-10,POINT (587237 5285609),148.06301,-42.577,587237,5285609,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"On jetty point, under cement slab with sandbag impressions, 10m N of D11-09. ",
1692434,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587239 5285609),148.06304,-42.577,587239,5285609,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692435,B76-00642,Eudyptula minor,,,little penguin,lpns,D11-09,POINT (587248 5285604),148.06315,-42.57705,587248,5285604,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,3m north east of D11-08. ,
1692436,B76-00642,Eudyptula minor,,,little penguin,lpns,D11-08,POINT (587251 5285595),148.06319,-42.57713,587251,5285595,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"1 chick, very large other may have fledged, N of large cement refuse, with rusted meyal support. ",
1692437,B76-00642,Eudyptula minor,,,little penguin,lpns,D11-06,POINT (587253 5285593),148.06321,-42.57715,587253,5285593,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"No recent use, in NW side of big cement slab. ",
1692438,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587254 5285595),148.06322,-42.57713,587254,5285595,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692439,B76-00642,Eudyptula minor,,,little penguin,lpns,D11-07,POINT (587254 5285591),148.06322,-42.57716,587254,5285591,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"Complex may contain 4-5 nest bowls, almost certainly one breeding pair (at least), very acticve, complex not marked, complex located 50m N of silos, in large concrete mass on seaward side of road.. ",
1692440,B76-00642,Eudyptula minor,,,little penguin,lpns,D11-05,POINT (587255 5285591),148.06324,-42.57716,587255,5285591,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"Fresh guano, nest contents not determinable. ",
1692441,B76-00642,Eudyptula minor,,,little penguin,lpns,AS11-09,POINT (587596 5286279),148.06729,-42.57093,587596,5286279,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,5m North West of AS11-08,
1692442,B76-00642,Eudyptula minor,,,little penguin,lpns,AS11-06,POINT (587599 5286283),148.06732,-42.57089,587599,5286283,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,Large open rocky section,
1692443,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_24,POINT (587396 5270120),148.06733,-42.71645,587396,5270120,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692444,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587600 5286282),148.06733,-42.5709,587600,5286282,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692445,B76-00642,Eudyptula minor,,,little penguin,lpns,AS11-08,POINT (587600 5286276),148.06734,-42.57096,587600,5286276,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,2m west of AS11-07 under vegetation,
1692446,B76-00642,Eudyptula minor,,,little penguin,lpns,AS11-05,POINT (587601 5286286),148.06735,-42.57087,587601,5286286,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,Under rhagodia3m East of AS11_06,
1692447,B76-00642,Eudyptula minor,,,little penguin,lpns,AS11-07,POINT (587601 5286282),148.06735,-42.5709,587601,5286282,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"Fresh guano and down, chamber currently not active",
1692448,B76-00642,Eudyptula minor,,,little penguin,lpns,AS11-04,POINT (587602 5286298),148.06736,-42.57076,587602,5286298,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,Amongst large rocks halfway upslope,
1692449,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587602 5286273),148.06736,-42.57098,587602,5286273,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692450,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_22,POINT (587398 5270106),148.06736,-42.71658,587398,5270106,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692451,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_21,POINT (587398 5270089),148.06736,-42.71673,587398,5270089,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692452,B76-00642,Eudyptula minor,,,little penguin,lpns,AS11-11,POINT (587603 5286278),148.06737,-42.57094,587603,5286278,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"Fesh guano and down, no chicks present , assumed they have fledged, just below the top of escarpment",
1692453,B76-00642,Eudyptula minor,,,little penguin,lpns,AS11-10,POINT (587603 5286278),148.06737,-42.57094,587603,5286278,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,Fresh  guano and down,
1692454,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_20,POINT (587399 5270076),148.06738,-42.71685,587399,5270076,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692455,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_23,POINT (587401 5270117),148.0674,-42.71648,587401,5270117,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692456,B76-00642,Eudyptula minor,,,little penguin,lpns,AS11-02,POINT (587617 5286304),148.06754,-42.5707,587617,5286304,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"Fresh Guano, chamber not visible, in amongst boobyalla stamd",
1692457,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_19,POINT (587414 5270064),148.06756,-42.71695,587414,5270064,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692458,B76-00642,Eudyptula minor,,,little penguin,lpns,AS11-03,POINT (587620 5286298),148.06758,-42.57076,587620,5286298,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"Fresh guano, chambner not visible, 22m west of AS11-02",
1692459,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_18,POINT (587416 5270055),148.06759,-42.71703,587416,5270055,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692460,B76-00642,Eudyptula minor,,,little penguin,lpns,AS11-01,POINT (587624 5286312),148.06762,-42.57063,587624,5286312,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"Fresh guano, no evidence of breeding, chamber fully visible, under large boulder at bottom of vegetation",
1692461,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_17,POINT (587420 5270058),148.06764,-42.717,587420,5270058,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692462,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_16,POINT (587462 5270101),148.06814,-42.71661,587462,5270101,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692463,B76-00642,Eudyptula minor,,,little penguin,lpns,HBT5-05,POINT (587482 5269978),148.06841,-42.71772,587482,5269978,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"No recent use, some guano",
1692464,B76-00642,Eudyptula minor,,,little penguin,lpns,HBT5-01,POINT (587484 5269973),148.06843,-42.71776,587484,5269973,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"Bird about to lay, could feel egg inside female",
