ID,SPECIES_CODE,SPECIES_NAME,CURRENT_SPECIES_NAME,POPULATION,PREFERRED_COMMON_NAMES,PROJECT_CODE,OBSERVATION_FOREIGN_ID,GDA94_ZONE_55_EASTINGNORTHING,LONGITUDE,LATITUDE,EASTING,NORTHING,POSITION_ACCURACY,LOCATION_DESC,OBSERVER_NAMES,OBSERVATION_DATE,DATE_ACCURACY,OBSERVATION_TYPE,OBSERVATION_TYPE_QUALIFIER,OBSERVATION_STATE,OBSERVATION_STATE_QUALIFIER,RECORD_STATUS,NOTES,PRIMARY_IDENTIFIER
523655,B76-00593,Puffinus tenuirostris,Ardenna tenuirostris,,short-tailed shearwater,fhb,fauna_hb:fhb:4665/1,POINT (582612 5276383),148.00801,-42.66059,582612,5276383,100,"Point Lesueur, Maria Island",Unknown Unknown (23130),01-Jan-1900,Unknown,Sighting,,Present,,Accepted,,
532124,B76-00593,Puffinus tenuirostris,Ardenna tenuirostris,,short-tailed shearwater,fhb,fauna_hb:fhb:1405/1,POINT (587912 5287183),148.071,-42.56275,587912,5287183,100,"Ile du Nord, north of Maria Island",Unknown Unknown (23130),01-Jan-1900,Unknown,Sighting,,Present,,Accepted,,
533069,B76-00593,Puffinus tenuirostris,Ardenna tenuirostris,,short-tailed shearwater,fhb,fauna_hb:fhb:4271/1,POINT (588912 5269783),148.0859,-42.71931,588912,5269783,100,"No Good Bay, Maria Island",Unknown Unknown (23130),01-Jan-1900,Unknown,Sighting,,Present,,Accepted,,
533234,B76-00593,Puffinus tenuirostris,Ardenna tenuirostris,,short-tailed shearwater,fhb,fauna_hb:fhb:4666/1,POINT (591312 5275983),148.11421,-42.6632,591312,5275983,100,"Whalers Cove, Maria Island",Unknown Unknown (23130),01-Jan-1900,Unknown,Sighting,,Present,,Accepted,,
634047,B76-00593,Puffinus tenuirostris,Ardenna tenuirostris,,short-tailed shearwater,raou,raou:raou:15862/36,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),05-Jan-1978,Unknown,Sighting,,Present,,Accepted,,
651550,B76-00593,Puffinus tenuirostris,Ardenna tenuirostris,,short-tailed shearwater,raou,raou:raou:2897/1,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),28-Feb-1977,Unknown,Sighting,,Present,,Accepted,,
654863,B76-00593,Puffinus tenuirostris,Ardenna tenuirostris,,short-tailed shearwater,raou,raou:raou:23708/27,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),25-Dec-1977,Unknown,Sighting,,Present,,Accepted,,
657260,B76-00593,Puffinus tenuirostris,Ardenna tenuirostris,,short-tailed shearwater,raou,raou:raou:24488/3,POINT (588770 5266544),148.08467,-42.74849,588770,5266544,18500,,Unknown Unknown (23130),24-Mar-1978,Unknown,Sighting,,Present,,Accepted,,
657263,B76-00593,Puffinus tenuirostris,Ardenna tenuirostris,,short-tailed shearwater,raou,raou:raou:24489/7,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),23-Mar-1978,Unknown,Sighting,,Present,,Accepted,,
675862,B76-00593,Puffinus tenuirostris,Ardenna tenuirostris,,short-tailed shearwater,raou,raou:raou:48572/58,POINT (589007 5285050),148.08467,-42.58183,589007,5285050,18500,,Unknown Unknown (23130),22-Jan-1979,Unknown,Sighting,,Present,,Accepted,,
